ID,NOMBRE,TIPO
Paucartambo,Paucartambo,Pueblo
IglesiaPaucartambo,Iglesia de Paucartambo,Iglesia
CementerioPaucartambo,Cementerio de Paucartambo,Cementerio
PlazaPaucartambo,Plaza de Armas de Paucartambo,Plaza
SantuarioQoylluriti,Santuario del Señor de Qoyllur Rit'i,Santuario
ColquePunku,Glaciar Colque Punku,Glaciar
MachuCruz,Machu Cruz,Punto Ritual
Yanaqocha,Laguna Yanaqocha,Laguna
Yanaqancha,Yanaqancha,Lugar de Descanso
QespiCruz,Q'espi Cruz,Punto Ritual
QquchiyocWayqo,Qquchiyoc Wayq'o,Riachuelo
IntiLloksimuy,Inti Lloksimuy,Punto Solar
Tayancani,Tayancani,Pueblo
Ocongate,Ocongate,Pueblo
PlazaCcatcca,Plaza de Armas de Ccatcca,Plaza
IglesiaCcatcca,Iglesia de Ccatcca,Iglesia
Huancarani,Huancarani,Cruce Vial
Mahuayani,Mahuayani,Punto de Inicio
CeldaUkukusPaucartambo,Celda de los Ukukus de Paucartambo,Alojamiento
Mamachapata,Mamachapata,Área Ritual
CapillaTayankani,Capilla de Tayankani,Capilla
GrutaTayankani,Gruta de Tayankani,Gruta
PlazaOcongate,Plaza de Ocongate,Plaza
CasaPriosteOcongate,Casa del Prioste en Ocongate,Residencia
Caicay,Caicay,Distrito
Challabamba,Challabamba,Distrito
Colquepata,Colquepata,Distrito
Ccapi,Ccapi,Localidad
Ccarhuayo,Ccarhuayo,Localidad
Ccatcca,Ccatcca,Pueblo
Mollomarca,Mollomarca (sector alto de Paucartambo),Comunidad
GrutaYanaqancha,Gruta de Yanaqancha,Gruta
RutaPaucartamboMahuayani,Ruta Paucartambo - Mahuayani,Ruta
ViajeVehicular_Paucartambo_Mahuayani_2025,Viaje vehicular a Mahuayani (2025),Evento-Lugar
Lomada_2025,Lomada / Loman Pureq (2025),Evento-Ruta
IntiAlabado_2025,Inti Alabado (2025),Evento-Punto
Escalerachayoq,EscaleraChayoq,Evento-Tramo
Pachakunapata,P'achakunapata,Evento-Lugar
